1961,232.288994
1962,229.536258
1963,233.145936
1964,243.763684
1965,252.602916
1966,259.677371
1967,260.766892
1968,269.784084
1969,266.414974
1970,263.917747
1971,268.307222
1972,260.662556
1973,266.639419
1974,277.515778
1975,283.834045
1976,290.309028
1977,292.474198
1978,300.830694
1979,309.286657
1980,318.331081
1981,329.37239
1982,338.883998
1983,339.244126
1984,328.600632
1985,314.255385
1986,314.459695
1987,321.413779
1988,329.789292
1989,346.385165
1990,352.297882
1991,348.370515
1992,417.562922
1993,417.12357
1994,417.749459
1995,412.233904
1996,411.946817
1997,394.697075
1998,401.49927
1999,408.270468
2000,414.2428
2001,407.997978
2002,403.460832
2003,413.824928
2004,428.104959
2005,445.338742
2006,452.994173
2007,455.74017
