1965,111.0091346
1966,130.8284341
1967,141.2870879
1968,154.2277747
1969,162.7408654
1970,192.1664835
1971,240.7997253
1972,304.2173901
1973,384.0045673
1974,429.6621566
1975,359.3169299
1976,437.2518544
1977,468.4007898
1978,424.4353365
1979,487.9794299
1980,509.8284478
1981,506.3472527
1982,340.1842374
1983,240.258921
1984,219.0327876
1985,172.0746632
1986,252.5900922
1987,221.0710774
1988,276.5187735
1989,271.1479517
1990,342.6186005
1991,428.3558357
1992,442.3945533
1993,432.7851482
1994,437.2497186
1995,438.4428287
1996,446.6565229
1997,454.4733065
1998,455.662974
1999,423.6322388
2000,456.2713279
2001,440.5880501
2002,425.3325201
2003,485.1494479
2004,506.0481621
2005,526.7919833
2006,514.268889
2007,494.2110193
2008,515.3052417
2009,464.7204667
2010,467.7723636
