1999,1,30.052513
1999,2,19.148496
1999,3,25.317692
1999,4,27.591437
2000,1,32.076456
2000,2,23.487961
2000,3,28.47594
2000,4,35.123753
2001,1,36.838485
2001,2,25.007017
2001,3,30.72223
2001,4,28.693759
2002,1,36.640986
2002,2,23.824609
2002,3,29.311683
2002,4,31.770309
2003,1,35.177877
2003,2,19.775244
2003,3,29.60175
2003,4,34.538842
2004,1,41.273599
2004,2,26.655862
2004,3,28.279859
2004,4,35.191153
2005,1,41.727458
2005,2,24.04185
2005,3,32.328103
2005,4,37.328708
2006,1,46.213153
2006,2,29.346326
2006,3,36.48291
2006,4,42.977719
2007,1,48.901525
2007,2,31.180221
2007,3,37.717881
2007,4,40.420211
2008,1,51.206863
2008,2,31.887228
2008,3,40.978263
2008,4,43.772491
2009,1,55.558567
2009,2,33.850915
2009,3,42.076383
2009,4,45.642292
2010,1,59.76678
2010,2,35.191877
2010,3,44.319737
2010,4,47.913736
